Name,Team,Games Played,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Inside 50s,Goal Assists,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency,Clangers,Contested Marks,Marks Inside 50,Clearances,Centre Clearances,Stoppage Clearances,Rebound 50s,One Percenters,Bounces,Metres Gained,Score Involvements,Turnovers,Intercepts,Tackles Inside 50,Time On Ground
Sam Docherty,Carlton,22,20.91,6.95,27.86,9.05,0.14,0.14,3.32,0.0,1.95,0.36,6.55,19.05,22.14,79.47,3.09,0.5,0.09,1.14,0.5,0.64,5.73,2.55,1.05,514.59,4.73,5.18,6.32,0.14,92.91
Dustin Martin,Richmond,25,19.16,10.6,29.76,4.12,1.48,1.16,3.52,0.0,6.0,1.16,14.52,14.4,19.32,64.92,4.96,1.0,1.04,6.4,3.44,2.96,0.92,1.04,0.96,482.92,9.0,6.16,3.08,0.64,85.24
Gary Jnr Ablett,Gold Coast,14,19.0,14.0,33.0,3.5,0.57,0.79,5.5,0.0,5.86,0.86,13.71,18.29,23.07,69.91,4.64,0.14,0.21,7.71,3.57,4.07,2.5,0.64,0.57,477.0,8.21,5.43,3.07,0.86,86.36
Dylan Roberton,St Kilda,22,17.5,5.59,23.09,6.23,0.23,0.18,1.73,0.0,1.77,0.05,5.0,15.5,18.14,78.56,2.32,0.59,0.0,0.41,0.09,0.32,5.64,2.45,0.95,474.14,3.45,4.95,6.68,0.05,86.95
Zachary Merrett,Essendon,22,17.36,12.59,29.95,4.32,0.41,0.36,5.55,0.0,3.95,0.59,9.0,20.64,21.23,70.88,3.0,0.05,0.14,4.23,1.5,2.73,2.91,0.91,0.59,487.32,6.27,5.36,3.73,0.5,76.73
Andrew Gaff,West Coast,24,17.25,12.46,29.71,5.29,0.25,0.25,2.04,0.0,3.38,0.62,7.0,23.08,22.04,74.18,3.46,0.04,0.33,1.96,0.17,1.79,2.58,0.75,0.38,414.62,5.54,4.75,3.5,0.12,88.88
Kade Simpson,Carlton,22,17.14,6.91,24.05,7.36,0.18,0.14,2.68,0.0,2.73,0.5,6.55,16.45,18.05,75.05,2.86,0.23,0.27,1.5,0.23,1.27,3.77,1.64,0.95,409.95,4.68,4.86,5.18,0.05,93.5
Michael Hibberd,Melbourne,18,16.94,10.44,27.39,5.39,0.06,0.06,1.28,0.0,2.67,0.28,7.17,18.44,21.0,76.67,3.17,0.39,0.0,0.94,0.33,0.61,6.83,3.28,0.28,556.5,3.89,6.11,7.61,0.06,86.11
Michael Hurley,Essendon,21,16.9,8.67,25.57,7.67,0.14,0.05,1.05,0.0,1.19,0.1,6.19,16.33,20.33,79.51,3.0,0.76,0.05,0.24,0.0,0.24,6.9,5.14,0.24,471.95,4.33,5.1,8.48,0.0,93.14
Bryce Gibbs,Carlton,22,16.45,10.36,26.82,5.18,0.77,0.59,5.86,0.0,3.59,0.55,10.14,16.59,18.68,69.65,3.64,0.14,0.41,5.09,1.91,3.18,1.91,0.95,0.09,367.18,5.59,4.91,2.18,0.91,84.77
Bradley Hill,Fremantle,22,16.45,7.09,23.55,6.32,0.59,0.64,2.05,0.0,3.91,0.45,4.0,19.41,16.18,68.7,3.0,0.05,0.36,1.23,0.14,1.09,2.36,0.82,1.0,453.95,5.59,4.73,1.91,0.27,83.18
Marc Murphy,Carlton,22,16.36,13.45,29.82,5.77,0.5,0.41,3.91,0.0,4.41,0.68,10.23,19.55,21.73,72.87,3.41,0.0,0.27,4.55,1.59,2.95,1.64,0.68,0.41,386.73,5.68,4.82,2.41,0.68,87.95
Dayne Zorko,Brisbane,21,16.24,8.81,25.05,3.76,1.62,1.29,7.0,0.0,4.95,0.62,10.43,14.48,16.14,64.43,4.38,0.33,0.52,5.38,2.0,3.38,2.1,1.14,0.62,505.67,7.9,5.14,2.38,1.38,83.9
Jake Lloyd,Sydney,23,16.09,9.87,25.96,5.91,0.26,0.17,1.48,0.0,2.3,0.22,5.17,19.52,20.48,78.89,2.65,0.13,0.3,1.13,0.39,0.74,4.04,1.26,0.3,435.13,5.13,4.09,4.7,0.09,85.7
Alex Witherden,Brisbane,9,15.89,7.67,23.56,5.33,0.22,0.0,2.56,0.0,1.56,0.11,4.89,15.0,17.44,74.02,3.33,0.22,0.0,0.78,0.22,0.56,4.89,1.33,0.22,416.89,4.22,3.89,4.67,0.0,79.44
Heath Shaw,GWS,25,15.72,4.88,20.6,6.04,0.0,0.16,1.48,0.0,1.44,0.2,4.8,13.8,16.0,77.67,3.12,0.36,0.08,0.32,0.08,0.24,5.44,2.96,2.36,454.04,3.48,3.84,6.24,0.04,89.72
Steele Sidebottom,Collingwood,22,15.64,11.64,27.27,5.23,0.73,0.41,4.23,0.0,4.14,0.59,8.23,18.73,19.68,72.17,3.23,0.0,0.27,3.45,1.09,2.36,1.36,1.36,0.95,344.77,6.73,4.73,3.0,0.45,86.82
Aaron Hall,Gold Coast,19,15.26,10.37,25.63,4.63,0.63,0.58,3.58,0.0,5.05,0.47,6.11,19.47,18.47,72.06,3.05,0.16,0.16,2.16,0.47,1.68,2.21,0.74,0.79,495.74,5.79,4.89,2.42,0.37,77.58
Zach Tuohy,Geelong,25,15.0,9.6,24.6,4.6,0.24,0.32,1.8,0.0,2.84,0.24,6.08,16.2,18.72,76.1,2.68,0.32,0.2,1.12,0.36,0.76,4.88,0.8,0.68,478.04,5.32,5.16,5.48,0.0,94.24
Elliot Yeo,West Coast,23,15.0,8.13,23.13,7.0,0.35,0.3,3.3,0.0,3.65,0.48,9.43,13.39,17.17,74.23,3.0,1.09,0.26,2.22,0.74,1.48,3.35,2.35,0.39,452.13,4.35,4.22,6.87,0.17,86.04
Taylor Adams,Collingwood,22,14.91,14.59,29.5,5.05,0.41,0.36,6.36,0.0,4.23,0.64,11.68,17.91,20.86,70.71,4.36,0.14,0.41,5.59,2.27,3.32,1.59,1.23,0.55,362.18,7.27,4.55,3.23,0.45,77.05
Leigh Montagna,St Kilda,16,14.69,10.31,25.0,6.0,0.31,0.06,3.69,0.0,3.19,0.38,4.88,19.75,19.62,78.48,2.81,0.12,0.12,0.81,0.31,0.5,3.25,1.38,0.38,447.75,4.62,5.75,4.12,0.12,85.12
Rory Laird,Adelaide,25,14.68,14.76,29.44,5.72,0.12,0.04,2.2,0.0,2.4,0.12,8.56,20.72,23.88,81.11,2.6,0.32,0.08,1.16,0.4,0.76,4.64,1.64,0.0,417.72,5.2,4.76,7.44,0.0,85.28
Daniel Rich,Brisbane,22,14.64,6.68,21.32,3.68,0.36,0.5,1.59,0.0,3.09,0.41,6.32,13.73,16.32,76.55,3.05,0.27,0.14,1.14,0.45,0.68,4.86,2.68,0.0,460.95,4.77,4.55,5.59,0.05,82.5
Dayne Beams,Brisbane,19,14.53,12.53,27.05,4.53,1.05,0.58,4.16,0.0,2.95,0.63,10.58,16.16,19.32,71.42,3.37,0.32,0.68,4.89,2.26,2.63,2.16,1.05,0.16,341.95,6.16,5.05,2.89,0.21,81.79
Luke Hodge,Hawthorn,19,14.53,8.63,23.16,6.26,0.05,0.11,2.47,0.0,1.68,0.11,5.79,16.84,18.37,79.32,3.58,0.53,0.0,1.05,0.42,0.63,3.11,4.05,0.0,301.47,4.11,3.47,5.37,0.0,85.79
Sebastian Ross,St Kilda,22,14.45,15.41,29.86,3.59,0.23,0.41,4.27,0.05,4.05,0.59,9.82,20.23,21.73,72.77,2.73,0.09,0.14,5.0,2.27,2.73,1.95,1.5,0.23,396.27,6.73,4.5,2.86,0.55,83.0
Mitchell Duncan,Geelong,24,14.33,14.75,29.08,6.58,0.62,0.54,5.33,0.0,4.21,0.54,9.5,20.29,21.75,74.79,3.33,0.21,0.38,4.29,1.17,3.12,2.17,1.29,0.58,416.29,7.04,3.79,3.17,0.42,81.29
Isaac Smith,Hawthorn,22,14.23,8.5,22.73,5.91,0.64,0.55,2.95,0.0,4.55,0.59,5.32,17.41,17.05,75.01,2.05,0.0,0.36,2.41,0.27,2.14,2.05,1.36,1.0,418.77,5.5,4.0,1.41,0.23,83.41
Josh Smith,Collingwood,13,14.23,5.38,19.62,6.62,0.15,0.0,2.31,0.0,1.62,0.0,3.54,16.08,15.15,77.22,2.0,0.23,0.15,0.69,0.08,0.62,2.69,2.0,0.0,292.23,3.15,3.54,3.62,0.0,85.23
Callan Ward,GWS,25,14.12,12.96,27.08,3.6,0.56,0.4,3.92,0.0,3.08,0.64,11.72,15.56,20.6,76.07,2.72,0.16,0.24,6.44,2.44,4.0,1.44,0.92,0.8,315.16,6.84,3.08,2.32,0.76,85.16
Jarrod Harbrow,Gold Coast,18,14.11,8.17,22.28,5.67,0.11,0.11,1.89,0.0,1.94,0.33,5.11,16.5,17.11,76.8,2.89,0.33,0.0,0.78,0.28,0.5,3.72,2.06,0.67,358.61,3.94,4.28,4.83,0.17,87.28
Joshua Kelly,GWS,24,14.08,15.42,29.5,3.54,0.79,1.0,6.5,0.0,5.04,0.62,11.08,18.96,21.88,74.17,2.92,0.21,0.33,4.88,1.88,3.0,1.46,0.88,0.79,410.29,7.17,4.42,3.42,0.92,85.21
David Zaharakis,Essendon,23,14.04,11.61,25.65,4.65,0.48,0.61,4.65,0.0,4.7,0.83,6.48,19.26,18.57,72.4,2.87,0.0,0.3,2.17,0.87,1.3,2.13,0.91,0.87,367.26,6.91,4.91,3.0,0.48,83.35
Jeremy Howe,Collingwood,21,14.0,7.81,21.81,8.62,0.14,0.1,1.57,0.0,2.29,0.24,6.86,13.86,17.14,78.59,2.57,2.05,0.05,0.33,0.1,0.24,4.1,4.05,0.24,368.81,3.81,3.81,8.43,0.0,92.67
Tom Mitchell,Hawthorn,22,13.95,21.82,35.77,5.32,0.45,0.45,6.5,0.0,3.45,0.36,14.77,21.5,26.05,72.83,4.5,0.09,0.27,6.27,2.32,3.95,2.09,0.91,0.32,308.41,6.91,4.82,2.82,1.0,87.45
Jared Polec,Port Adelaide,22,13.91,8.41,22.32,3.95,0.5,0.5,2.95,0.0,4.45,0.5,6.64,15.55,16.09,72.09,3.32,0.27,0.36,2.14,0.27,1.86,2.14,1.36,0.68,428.5,4.77,4.09,3.27,0.45,83.82
Trent Cotchin,Richmond,25,13.88,9.72,23.6,3.4,0.68,0.32,5.56,0.0,4.2,0.56,11.76,11.52,14.84,62.88,3.88,0.44,0.24,5.24,2.32,2.92,1.64,1.72,0.4,357.44,5.28,5.0,4.04,1.0,79.92
Bachar Houli,Richmond,21,13.86,9.76,23.62,5.14,0.24,0.43,3.57,0.0,2.33,0.24,6.05,15.38,18.52,78.41,2.52,0.29,0.33,1.05,0.33,0.71,4.14,2.0,0.57,415.71,4.52,4.9,5.48,0.05,83.95
Bernie Vince,Melbourne,19,13.84,7.37,21.21,3.84,0.11,0.21,2.89,0.0,1.74,0.26,5.95,14.37,15.21,71.71,3.05,0.05,0.11,1.53,0.47,1.05,2.63,1.79,0.37,288.11,3.74,4.11,5.05,0.32,85.21
Matt Crouch,Adelaide,25,13.8,19.2,33.0,3.04,0.28,0.28,4.76,0.0,3.32,0.64,13.48,19.68,23.76,72.0,3.16,0.04,0.08,5.84,2.2,3.64,2.12,1.24,0.16,353.72,7.2,5.36,3.24,0.8,77.04
Chad Wingard,Port Adelaide,19,13.79,8.37,22.16,4.32,1.26,1.32,3.32,0.0,4.95,0.79,9.05,12.84,14.42,65.07,2.58,0.47,1.21,3.68,1.84,1.84,0.58,1.21,0.42,399.11,7.0,4.47,2.32,0.84,87.79
Jack Ziebell,North Melbourne,19,13.79,8.42,22.21,3.47,0.68,0.32,5.79,0.0,3.95,0.47,11.16,11.21,14.42,64.93,4.05,0.26,0.58,4.89,2.16,2.74,1.74,1.37,0.16,380.42,5.32,5.0,3.68,0.53,79.89
Lachlan Hunter,Western Bulldogs,22,13.73,8.86,22.59,5.27,0.82,0.41,2.55,0.0,2.91,0.27,6.68,15.55,16.23,71.85,2.45,0.27,0.68,1.59,0.32,1.27,1.95,1.5,0.5,344.5,5.36,4.05,3.55,0.36,85.5
Nathan Wilson,GWS,24,13.71,3.71,17.42,4.21,0.17,0.17,1.92,0.0,3.79,0.33,3.46,12.42,13.88,79.68,2.71,0.21,0.04,0.42,0.08,0.33,4.38,2.25,0.71,504.21,4.42,4.79,3.75,0.08,79.5
Andrew Mackie,Geelong,23,13.7,7.52,21.22,5.35,0.13,0.09,2.0,0.0,2.65,0.39,5.26,16.22,15.57,73.37,3.13,0.09,0.09,0.52,0.0,0.52,3.26,2.3,0.26,364.3,4.13,4.52,4.87,0.04,88.87
Christian Salem,Melbourne,16,13.69,7.75,21.44,4.56,0.31,0.0,3.38,0.0,1.62,0.25,4.94,14.5,16.81,78.4,2.38,0.19,0.19,1.06,0.38,0.69,3.81,1.19,0.12,342.0,4.5,3.75,4.19,0.12,81.38
Lachie Whitfield,GWS,18,13.67,10.33,24.0,6.06,0.56,0.39,3.33,0.0,4.17,0.83,7.0,17.28,18.78,78.25,2.39,0.06,0.5,2.33,0.61,1.72,1.94,1.89,0.67,405.61,6.56,3.83,3.22,0.72,86.33
Dyson Heppell,Essendon,23,13.65,12.7,26.35,5.13,0.52,0.35,4.17,0.0,4.3,0.61,11.22,15.57,18.57,70.47,3.43,0.39,0.39,4.65,1.91,2.74,2.13,1.61,0.22,361.13,6.78,4.39,3.13,0.35,82.52
Stephen Hill,Fremantle,18,13.61,7.72,21.33,2.67,0.22,0.17,3.72,0.0,3.17,0.44,8.61,12.56,14.39,67.46,2.89,0.22,0.11,3.56,1.39,2.17,2.17,1.39,0.11,387.39,5.0,4.72,2.44,0.56,79.28
Luke Shuey,West Coast,23,13.57,12.74,26.3,4.04,0.48,0.3,5.83,0.0,4.04,0.74,10.96,15.52,18.78,71.41,3.52,0.0,0.26,5.74,2.57,3.17,1.17,1.43,0.65,360.13,5.61,4.13,2.13,0.96,81.48
Shane Biggs,Western Bulldogs,16,13.56,7.38,20.94,4.88,0.0,0.0,1.88,0.0,1.75,0.38,4.88,15.62,17.19,82.09,1.88,0.5,0.0,0.19,0.06,0.12,4.12,2.38,0.81,351.5,3.0,3.38,5.06,0.12,80.31
Scott Pendlebury,Collingwood,16,13.56,14.56,28.12,3.62,0.31,0.44,6.44,0.19,5.06,1.25,11.25,16.81,21.0,74.68,2.56,0.25,0.19,5.19,2.19,3.0,1.56,2.06,0.31,380.44,7.75,3.69,2.25,1.06,82.06
Matthew Suckling,Western Bulldogs,22,13.55,7.27,20.82,4.82,0.41,0.68,1.86,0.0,3.59,0.32,4.64,14.82,16.14,77.52,2.23,0.32,0.14,0.41,0.09,0.32,2.82,1.64,0.59,456.45,5.14,3.95,3.64,0.18,78.5
Patrick Dangerfield,Geelong,24,13.5,16.42,29.92,4.54,1.88,1.33,5.88,0.0,5.29,0.83,17.92,12.79,19.71,65.88,4.42,1.42,1.54,7.21,2.92,4.25,0.92,1.04,0.75,441.71,8.04,5.08,2.71,1.21,85.17
Brendon Goddard,Essendon,23,13.43,13.22,26.65,7.3,0.22,0.13,3.17,0.0,2.96,0.57,7.17,19.22,21.7,81.43,2.7,0.48,0.26,2.48,1.17,1.3,2.35,1.96,0.26,341.61,6.91,3.83,3.52,0.13,84.74
Shane Savage,St Kilda,12,13.42,7.92,21.33,4.75,0.42,0.17,2.42,0.0,3.75,0.25,4.83,16.17,17.33,81.25,1.92,0.75,0.08,0.42,0.08,0.33,2.83,2.0,1.17,432.0,3.83,4.17,4.83,0.0,83.5
Ryan Burton,Hawthorn,20,13.4,7.9,21.3,5.7,0.2,0.05,2.9,0.0,2.4,0.1,5.05,14.8,17.2,80.75,2.7,0.5,0.0,0.3,0.1,0.2,3.8,3.15,0.55,341.9,3.5,4.55,5.95,0.15,85.75
Tom Rockliff,Brisbane,20,13.4,10.6,24.0,5.3,0.8,0.25,5.85,0.1,4.05,0.5,10.2,13.4,16.65,69.38,3.25,0.2,0.65,6.3,1.95,4.4,1.25,0.85,0.0,314.05,5.5,3.85,1.4,0.9,83.25
Jack Newnes,St Kilda,22,13.32,9.64,22.95,5.64,0.32,0.45,3.09,0.0,3.41,0.32,6.55,17.09,17.05,74.29,3.05,0.27,0.41,1.36,0.23,1.18,3.41,1.59,0.82,431.18,5.14,4.36,3.64,0.32,82.68
Matthew Boyd,Western Bulldogs,10,13.3,9.7,23.0,5.7,0.3,0.2,1.6,0.0,1.6,0.3,4.7,17.5,17.1,74.35,2.2,0.4,0.2,0.7,0.2,0.5,3.5,2.5,0.2,387.5,5.2,4.3,5.2,0.1,83.3
Brandon Ellis,Richmond,25,13.24,9.04,22.28,5.04,0.28,0.16,2.04,0.0,2.24,0.28,6.6,15.0,17.68,79.35,2.76,0.24,0.16,1.08,0.16,0.92,3.24,1.72,1.04,306.4,4.0,3.76,5.64,0.2,82.32
Lance Franklin,Sydney,24,13.17,3.71,16.88,6.58,3.04,2.5,2.29,0.08,5.17,0.79,6.58,10.54,10.58,62.68,3.33,1.67,2.71,0.5,0.12,0.38,0.21,1.38,0.29,432.5,9.12,3.79,0.92,0.92,92.54
Dylan Shiel,GWS,25,13.16,13.08,26.24,2.6,0.48,0.6,3.68,0.0,4.32,0.6,11.16,15.28,18.76,71.49,3.48,0.0,0.24,6.44,3.24,3.2,1.4,1.2,0.64,392.48,6.0,4.36,2.36,0.52,71.92
Sam Mitchell,West Coast,22,13.14,13.77,26.91,3.68,0.18,0.18,3.05,0.0,2.95,0.73,9.95,17.64,19.64,72.98,2.82,0.23,0.18,4.68,1.5,3.18,2.32,1.64,0.64,329.18,6.05,4.14,3.18,0.23,84.32
Zachary Williams,GWS,23,13.13,9.04,22.17,3.26,0.3,0.35,3.87,0.0,2.65,0.52,7.78,14.26,17.04,76.86,3.0,0.3,0.17,2.04,0.48,1.57,2.87,1.78,0.91,382.39,4.87,4.52,5.65,0.13,80.52
Adam Treloar,Collingwood,21,13.1,16.81,29.9,2.57,0.62,0.52,6.38,0.05,4.52,0.57,11.33,17.67,20.48,68.49,3.86,0.05,0.29,5.33,2.29,3.05,1.62,0.76,2.52,348.71,7.05,4.62,2.1,0.71,81.33
Rory Sloane,Adelaide,24,13.08,11.12,24.21,3.12,0.83,0.29,7.79,0.0,4.54,0.54,13.25,11.46,16.83,69.52,3.79,0.67,0.42,6.33,2.62,3.71,1.42,2.92,0.04,352.79,7.08,4.46,3.62,1.46,79.46
Nic Newman,Sydney,20,13.0,7.3,20.3,4.75,0.35,0.35,3.75,0.05,2.6,0.5,6.2,13.15,14.4,70.94,2.45,0.25,0.3,0.9,0.15,0.75,2.8,1.9,0.3,389.2,4.65,4.25,4.85,0.3,76.35
Steven May,Gold Coast,18,13.0,6.28,19.28,7.06,0.06,0.11,1.33,0.0,1.0,0.0,5.17,11.89,15.39,79.82,2.61,1.0,0.0,0.28,0.0,0.28,3.94,5.89,0.67,331.56,3.28,4.33,7.06,0.0,86.89
Stephen Coniglio,GWS,10,13.0,12.7,25.7,3.5,0.6,0.5,6.4,0.0,3.3,0.6,9.9,15.7,18.4,71.6,3.4,0.0,0.6,5.3,2.2,3.1,1.3,1.0,0.2,265.9,6.4,3.6,2.3,0.6,81.5
Marcus Bontempelli,Western Bulldogs,22,12.95,10.0,22.95,4.0,0.91,1.32,6.27,0.14,4.55,0.86,11.77,11.73,15.55,67.76,3.45,0.95,1.05,4.18,1.91,2.27,1.27,2.0,0.32,368.82,6.91,4.32,2.64,1.05,86.55
Dominic Sheed,West Coast,21,12.95,9.33,22.29,4.95,0.52,0.62,2.52,0.0,3.57,0.43,8.9,14.0,15.76,70.7,2.24,0.14,0.33,3.62,1.24,2.38,1.43,0.76,0.57,351.14,5.33,3.9,1.76,0.33,73.33
Jack Steven,St Kilda,20,12.95,13.35,26.3,2.75,0.3,0.75,4.65,0.0,4.25,0.65,10.45,16.0,18.7,71.1,3.6,0.05,0.1,5.35,2.55,2.8,1.05,1.2,0.7,362.65,6.65,4.05,2.2,0.55,78.95
Nathan Jones,Melbourne,16,12.94,14.5,27.44,3.94,0.62,0.38,5.38,0.0,5.56,0.88,9.44,18.25,20.75,75.62,2.75,0.12,0.44,3.38,1.12,2.25,1.81,1.12,0.25,424.62,6.81,4.81,3.31,0.44,82.0
Tom Lynch,Adelaide,23,12.91,7.61,20.52,7.09,1.35,1.0,2.17,0.0,3.26,0.7,6.87,13.48,14.04,68.42,2.96,0.87,1.74,0.91,0.26,0.65,0.43,0.61,0.13,321.78,7.87,4.13,1.96,0.61,87.35
Jason Johannisen,Western Bulldogs,20,12.9,8.55,21.45,2.9,0.5,0.6,2.05,0.0,3.2,0.55,6.05,14.2,16.45,76.69,2.5,0.15,0.4,0.95,0.2,0.8,3.85,1.85,1.3,407.85,5.25,4.05,4.7,0.2,83.4
Shaun Grigg,Richmond,25,12.88,10.2,23.08,5.24,0.6,0.52,3.76,0.24,4.48,0.52,7.72,14.72,15.08,65.34,3.4,0.16,0.84,2.84,0.84,2.0,1.92,1.04,0.28,380.4,6.0,4.92,2.68,1.12,85.44
Sam Mayes,Brisbane,21,12.86,8.1,20.95,6.05,0.0,0.05,1.81,0.05,1.95,0.1,4.9,15.52,16.24,77.52,1.81,0.1,0.05,0.62,0.24,0.38,3.67,3.48,0.14,366.81,2.86,4.38,4.67,0.05,85.9
Shaun Higgins,North Melbourne,21,12.81,10.67,23.48,3.67,0.86,1.19,5.05,0.0,5.67,0.9,8.67,14.95,16.43,69.97,3.33,0.43,0.71,4.33,1.67,2.67,1.24,0.52,0.62,455.81,7.24,4.76,1.81,1.0,84.14
Shannon Hurn,West Coast,23,12.7,7.17,19.87,6.3,0.0,0.09,1.91,0.0,1.87,0.17,5.74,12.74,17.04,85.76,1.52,0.61,0.0,0.91,0.3,0.57,3.57,2.61,0.22,359.83,4.0,3.78,6.52,0.09,86.09
Richard Douglas,Adelaide,25,12.68,9.0,21.68,2.84,0.6,0.36,3.84,0.0,3.6,0.68,9.6,12.36,14.92,68.82,3.36,0.24,0.44,4.2,1.32,2.88,1.52,1.04,0.4,324.52,5.96,4.44,2.88,0.56,80.08
Luke Parker,Sydney,24,12.67,12.67,25.33,3.54,0.58,0.71,5.58,0.0,3.71,0.62,13.21,12.12,16.71,65.97,4.42,0.75,0.67,6.38,2.54,3.83,1.17,1.67,0.04,306.83,7.0,4.33,2.42,1.25,86.0
